id,section,order,name_es,name_ca,name_en,desc_es,desc_ca,desc_en,price,price2,mark,active
pumpkin,salads,1,Pumpkin Salad,Pumpkin Salad,Pumpkin Salad,"Calabaza asada, espinacas, rúcula, feta, nueces, vinagreta de agave, jengibre, cilantro y lima.","Carbassa rostida, espinacs, rúcula, feta, nous, vinagreta d'agave, gingebre, coriandre i llima.","Roasted pumpkin, spinach, rocket, feta, walnuts, agave vinaigrette, ginger, coriander and lime.",12,,*,TRUE
mediterranean,salads,2,Mediterranean Bowl,Mediterranean Bowl,Mediterranean Bowl,"Quinoa, garbanzos, aguacate, zanahorias asadas, rúcula y láminas de coco, aliñada con salsa de yogur.","Quinoa, cigrons, alvocat, pastanagues rostides, rúcula i làmines de coco, amb salsa de iogurt.","Quinoa, chickpeas, avocado, roasted carrots, rocket and coconut flakes, with yogurt sauce.","13,3",,*,TRUE
nachos,share,3,Nachos,Nachos,Nachos,"Con crème fraîche, queso fundido, jalapeños, pico de gallo, salsa verde y frijoles.","Amb crème fraîche, formatge fos, jalapeños, pico de gallo, salsa verda i mongetes.","With crème fraîche, melted cheese, jalapeños, pico de gallo, green salsa and beans.","13,7",,,TRUE
hummus,share,4,Hummus,Hummus,Hummus,"De remolacha, con feta, olivas kalamatas, zanahorias asadas, semillas y focaccia tostada.","De remolatxa, amb feta, olives kalamata, pastanagues rostides, llavors i focaccia torrada.","Beetroot hummus with feta, kalamata olives, roasted carrots, seeds and toasted focaccia.","9,3",,,TRUE
provoleta,share,5,Provoleta,Provoleta,Provoleta,"Con chimichurri, tomate cherry confitados y focaccia tostada.","Amb chimichurri, tomàquet cherry confitat i focaccia torrada.","With chimichurri, confit cherry tomatoes and toasted focaccia.","8,9",,,TRUE
carrots,share,6,Zanahorias asadas,Pastanagues rostides,Roasted carrots,Con mayo de cúrcuma y kikos.,Amb maionesa de cúrcuma i kikos.,With turmeric mayo and kikos.,"6,7",,,TRUE
bravas,share,7,Nuestras bravas,Les nostres braves,Our bravas,"Bravas horneadas, con salsa chipotle.","Braves al forn, amb salsa chipotle.",Oven-baked bravas with chipotle sauce.,"6,3",,,TRUE
olives,share,8,Olivas Gordal,Olives Gordal,Gordal olives,Olivas al chimichurri.,Olives al chimichurri.,Olives with chimichurri.,"3,9",,,TRUE
chips,share,9,Chips,Chips,Chips,Con salsa Bloody Mary.,Amb salsa Bloody Mary.,With Bloody Mary sauce.,3,,,TRUE
empanadas,share,10,Empanadas del Emi,Empanades de l'Emi,Emi's empanadas,"Dos empanadas de carne Angus cortada a cuchillo, fritas, con salsa de tomate fresco picante.","Dues empanades de carn Angus tallada a ganivet, fregides, amb salsa de tomàquet fresc picant.","Two knife-cut Angus beef empanadas, fried, with fresh spicy tomato sauce.","7,9",,,TRUE
